Id,Geography,Total; Estimate; Total population
1600000US0152320,"Mount Olive CDP (Coosa County), Alabama",284
1600000US0152344,"Mount Olive CDP (Jefferson County), Alabama",3917
1600000US0152608,"Mount Vernon town, Alabama",1225
1600000US0152680,"Movico CDP, Alabama",102
1600000US0152776,"Mulga town, Alabama",823
1600000US0152848,"Munford town, Alabama",1204
1600000US0153016,"Muscle Shoals city, Alabama",13701
1600000US0153112,"Myrtlewood town, Alabama",132
1600000US0153208,"Nanafalia CDP, Alabama",56
1600000US0153232,"Nances Creek CDP, Alabama",430
1600000US0153256,"Napier Field town, Alabama",438
1600000US0153376,"Natural Bridge town, Alabama",12
1600000US0153400,"Nauvoo town, Alabama",180
1600000US0153448,"Nectar town, Alabama",337
1600000US0153472,"Needham town, Alabama",110
1600000US0153784,"Newbern town, Alabama",167
1600000US0153856,"New Brockton town, Alabama",1303
1600000US0154168,"New Hope city, Alabama",2817
1600000US0154312,"New Market CDP, Alabama",1306
1600000US0154432,"New Site town, Alabama",827
1600000US0154480,"Newton town, Alabama",1643
1600000US0154582,"New Union CDP, Alabama",1100
1600000US0154600,"Newville town, Alabama",427
1600000US0155044,"North Courtland town, Alabama",737
1600000US0155152,"North Johns town, Alabama",198
1600000US0155200,"Northport city, Alabama",24708
1600000US0155440,"Notasulga town, Alabama",1037
1600000US0155752,"Oak Grove town, Alabama",566
1600000US0155848,"Oak Hill town, Alabama",11
1600000US0155992,"Oakman town, Alabama",657
1600000US0156400,"Odenville town, Alabama",3713
1600000US0156472,"Ohatchee town, Alabama",1187
1600000US0157000,"Oneonta city, Alabama",6585
1600000US0157024,"Onycha town, Alabama",133
1600000US0157048,"Opelika city, Alabama",29372
1600000US0157120,"Opp city, Alabama",6580
1600000US0157144,"Orange Beach city, Alabama",5826
1600000US0157240,"Orrville town, Alabama",154
1600000US0157384,"Our Town CDP, Alabama",430
1600000US0157504,"Owens Cross Roads town, Alabama",1795
1600000US0157576,"Oxford city, Alabama",21231
1600000US0157648,"Ozark city, Alabama",14546
1600000US0157696,"Paint Rock town, Alabama",217
1600000US0157912,"Panola CDP, Alabama",43
1600000US0158272,"Parrish town, Alabama",934
1600000US0158848,"Pelham city, Alabama",22941
1600000US0158896,"Pell City city, Alabama",13465
1600000US0158968,"Pennington town, Alabama",255
1600000US0159016,"Penton CDP, Alabama",120
1600000US0159064,"Perdido CDP, Alabama",745
1600000US0159088,"Perdido Beach town, Alabama",522
1600000US0159232,"Peterman CDP, Alabama",161
1600000US0159328,"Petrey town, Alabama",63
1600000US0159472,"Phenix City city, Alabama",36870
1600000US0159496,"Phil Campbell town, Alabama",1352
1600000US0159592,"Pickensville town, Alabama",858
1600000US0159640,"Piedmont city, Alabama",4673
1600000US0159760,"Pike Road town, Alabama",8417
1600000US0159832,"Pinckard town, Alabama",481
1600000US0159880,"Pine Apple town, Alabama",169
1600000US0160240,"Pine Hill town, Alabama",824
1600000US0160264,"Pine Level CDP, Alabama",4537
1600000US0160372,"Pine Ridge town, Alabama",229
1600000US0160648,"Pinson city, Alabama",7563
1600000US0160720,"Pisgah town, Alabama",766
1600000US0161008,"Pleasant Grove city, Alabama",10224
1600000US0161038,"Pleasant Groves town, Alabama",454
1600000US0161488,"Point Clear CDP, Alabama",2761
1600000US0161536,"Pollard town, Alabama",208
1600000US0162075,"Powell town, Alabama",1165
1600000US0162328,"Prattville city, Alabama",35286
1600000US0162472,"Priceville town, Alabama",3179
1600000US0162496,"Prichard city, Alabama",22063
1600000US0162688,"Providence town, Alabama",221
1600000US0162952,"Putnam CDP, Alabama",71
1600000US0163216,"Ragland town, Alabama",1896
1600000US0163288,"Rainbow City city, Alabama",9560
1600000US0163336,"Rainsville city, Alabama",5012
1600000US0163408,"Ranburne town, Alabama",571
1600000US0163495,"Ray CDP, Alabama",320
1600000US0163576,"Red Bay city, Alabama",3099
1600000US0163730,"Redland CDP, Alabama",4030
1600000US0163768,"Red Level town, Alabama",331
1600000US0163912,"Redstone Arsenal CDP, Alabama",1476
1600000US0163984,"Reece City town, Alabama",794
1600000US0164040,"Reeltown CDP, Alabama",345
1600000US0164104,"Reform town, Alabama",1862
1600000US0164152,"Rehobeth town, Alabama",1713
1600000US0164368,"Repton town, Alabama",233
1600000US0164656,"Ridgeville town, Alabama",111
1600000US0164776,"River Falls town, Alabama",693
1600000US0164920,"Riverside city, Alabama",2431
1600000US0165016,"Riverview town, Alabama",114
1600000US0165040,"Roanoke city, Alabama",5925
1600000US0165208,"Robertsdale city, Alabama",5853
1600000US0165412,"Rock Creek CDP, Alabama",1338
1600000US0165472,"Rockford town, Alabama",527
1600000US0165592,"Rock Mills CDP, Alabama",540
1600000US0165784,"Rockville CDP, Alabama",44
